token,count
",",71652634527.0
.,66018960901.0
the,49027500884.0
of,34517225417.0
and,23030727090.0
to,18795985742.0
in,15647732425.0
a,13254850187.0
),8237209787.0
is,8175898212.0
(,7718726580.0
that,7243618116.0
;,6907117322.0
for,6721594078.0
"""",5652815432.0
The,5571861988.0
by,5429994646.0
be,5346102252.0
as,5107519613.0
with,4879937641.0
was,4865448618.0
:,4502997383.0
on,4478287338.0
it,4126260434.0
or,4009023563.0
I,3865636302.0
are,3615846192.0
which,3549593200.0
at,3526368548.0
from,3484443646.0
not,3443916547.0
_,3325290512.0
this,3003828684.0
-,2858235336.0
his,2843766907.0
1,2795365738.0
have,2743517068.0
he,2526003740.0
's,2447434805.0
an,2419402045.0
',2230699134.0
were,2046228389.0
but,1904956235.0
had,1901410034.0
has,1852306384.0
all,1834783343.0
been,1806558649.0
their,1751873397.0
one,1670862881.0
they,1624180054.0
will,1615588749.0
In,1586433494.0
—,1511669939.0
we,1442625762.0
2,1427183953.0
A,1398679854.0
other,1332716321.0
would,1316417604.0
its,1304723852.0
you,1268502667.0
may,1261230535.0
more,1256126052.0
no,1250674980.0
It,1224156457.0
any,1223455378.0
who,1212543426.0
so,1209252796.0
?,1208744636.0
$,1208425249.0
such,1182479418.0
3,1141595809.0
than,1140363515.0
there,1088898811.0
them,1046412945.0
time,1027682459.0
4,1024900665.0
when,998092022.0
these,983576863.0
can,976396710.0
if,972029638.0
5,953570390.0
only,948711766.0
him,946851045.0
into,946415338.0
her,936632528.0
some,923131950.0
made,896505461.0
Mr.,880310509.0
two,877751865.0
do,869205901.0
!,866378473.0
should,864776997.0
This,855240197.0
also,855099065.0
0,851844284.0
our,840980523.0
out,828206693.0
said,822670393.0
upon,800266956.0
under,794248065.0
about,791756358.0
6,786157901.0
J.,765986018.0
very,762800468.0
my,742817179.0
He,737568196.0
shall,730194783.0
up,710085662.0
A.,707640247.0
same,706156119.0
&,702900248.0
de,680859924.0
10,675926061.0
being,664748158.0
New,662511215.0
most,658305014.0
first,651179849.0
i,647690906.0
what,637714183.0
must,634885909.0
p,630074841.0
after,626436695.0
years,626077524.0
those,624748230.0
work,623177138.0
could,620442704.0
between,612977820.0
8,611263805.0
S.,601543221.0
*,600025282.0
where,599259870.0
me,598374546.0
then,594001834.0
•,591461336.0
per,589116385.0
over,587176036.0
9,584860652.0
each,574562246.0
now,574058976.0
before,564668124.0
W.,564348843.0
=,558782906.0
many,554669762.0
year,550915808.0
7,548703437.0
C.,543404158.0
she,537398245.0
v.,534249881.0
much,530467195.0
H.,529320222.0
M.,528726664.0
through,527725578.0
see,527701672.0
new,523137452.0
But,518619647.0
part,518087063.0
great,513385796.0
],513175631.0
%,512027808.0
well,506288781.0
R.,503611297.0
And,501580716.0
used,493412286.0
case,490032992.0
E.,484555320.0
We,480672482.0
man,474785254.0
use,472790608.0
your,472551074.0
without,460619096.0
did,456778097.0
11,456639495.0
Co.,455629038.0
00,455529943.0
us,449315916.0
good,449153201.0
found,445067011.0
12,442814732.0
make,442498846.0
State,441032181.0
If,432794830.0
number,432084944.0
For,431635443.0
during,429043021.0
No.,427788184.0
three,420896190.0
15,415541721.0
like,415491337.0
both,415339336.0
given,415338308.0
OF,413534906.0
20,412565470.0
present,410544016.0
N.,408423341.0
»,408385285.0
day,406881086.0
own,404860979.0
