token,count
",",13184670755.0
.,9809513777.0
de,7464904659.0
la,3853835140.0
et,3220905937.0
le,2578138055.0
à,2560608380.0
les,2455501088.0
des,2093475780.0
en,1558056045.0
que,1549375424.0
du,1540298913.0
),1432517764.0
;,1383817175.0
(,1375980790.0
qui,1209370157.0
dans,1184401195.0
par,1038039653.0
un,950774961.0
—,917228849.0
:,909958533.0
d,858241270.0
une,842250349.0
pour,841077432.0
a,835835778.0
est,817689254.0
au,737399219.0
il,733548971.0
ne,730041190.0
plus,643009665.0
se,636975532.0
pas,616393408.0
ce,611766707.0
sur,604726325.0
»,484373153.0
ou,466775290.0
-,441648846.0
son,433369918.0
avec,430254626.0
«,422932035.0
nous,383986631.0
Le,377664302.0
sont,362257828.0
cette,357256977.0
aux,346041537.0
M.,339728263.0
1,337830341.0
on,329709205.0
La,320526040.0
qu'il,319941544.0
comme,318850926.0
Il,300373594.0
ses,299568474.0
sa,296195607.0
ces,292209420.0
Les,287249928.0
même,285635158.0
leur,282915769.0
mais,282393207.0
lui,281064165.0
y,255234477.0
'un,251755708.0
p,246193576.0
deux,243348809.0
'une,243151811.0
je,241742802.0
si,240268049.0
fait,239342328.0
été,238205535.0
tout,234516638.0
?,225191206.0
dont,222393224.0
bien,222001256.0
!,218510183.0
',218142247.0
vous,210295803.0
ont,200907083.0
sans,198775823.0
&,196743266.0
elle,196558099.0
"""",188205378.0
où,187024095.0
être,181737839.0
faire,175976795.0
tous,171630279.0
avait,171066344.0
2,168595109.0
s,167615117.0
était,165534454.0
A,162132113.0
On,157533486.0
peut,157291440.0
encore,152891752.0
aussi,148917786.0
leurs,144704666.0
m,141733415.0
3,139973222.0
point,139226182.0
entre,134634884.0
c'est,134591382.0
peu,133164838.0
Paris,132068186.0
sous,131665961.0
in,128248230.0
ils,128241423.0
...,128099249.0
fut,127800145.0
moins,127586615.0
I,125689912.0
me,124748896.0
4,122724499.0
the,120210961.0
n'est,119767740.0
En,118560636.0
Mais,117673746.0
